50006536	30070236		PL-ŁSm	Muzeum parafialne w kolegiacie Łaskiej
50006705	30070405		D-JöLm	Museum Zitadelle Stadtgeschichtliches Museum
50006716	30070416		PL-ŁŹbp	Wojewódzka i Miejska Biblioteka Publiczna im. Marszałka J. Piłsudskiego w Łodzi
50006718	30070418		PL-ŁŹmh	Muzeum Historii Miasta Łodzi. Zbiory Muzyczne - Galeria Muzyki im. Artura Rubinsteina
50006742	30070442		PL-KŁmzk	Muzeum Ziemi Kłodzkiej. Oddział Historyczny
50006756	30070456		D-BöCha	Fürstlich Schaumburg-Lippisches Hausarchiv
50006782	30070482		IRL-Df	Franciscan Library Dún Mhuire
50006806	30070506		D-Mösta	Stadtarchiv
50006808	30070508		D-Dösm	Katholische Pfarrei St. Margareta, Gerresheim
50006809	30070509		D-Dösl	Katholische Pfarrgemeinde St. Lambertus
50006815	30070515		A-Wös	Österreichisches Staatsrchiv
50007088	30072901		NULL	Einsiedeln, Kloster
50007579	30076037		NULL	Feuchtinger & Gleichauf, Regensburg
50007442	30076291		NULL	Karl Friedrich Kistner, Leipzig
50006829	30076335		CH-BULb	Musée gruérien. Bibliothèque de Bulle
50006831	30076339		CH-LEpms	Peter Mieg-Stiftung
50007236	30076346		NULL	Turnverein Offenbach am Main
50007366	30076349		NULL	Bristol Madrigal Society
50007063	30076473		NULL	Einsiedeln, Gymnasium
50007895	30076585		NULL	C.F. Leede, Leipzig
50007829	30076592		NULL	Druckerei Oscar Brandstetter, Leipzig
50007174	30076686		NULL	Erk'scher Männergesangverein Berlin
50006825	30076732		CH-Za	Stadtarchiv Zürich
50007900	30076795		NULL	T. Trautwein, Berlin
50007394	30076803		NULL	Eidgenössischer Sängerverein
50007465	30076810		NULL	Basler Männerchor
50007211	30076811		NULL	Basler Gesangverein
50007265	30076812		NULL	Basler Liederkranz
50007216	30076813		NULL	Basler Musikschule
50007541	30076814		NULL	Basler Vokalquartett
50006202	30076859		D-ZHbeer	Privatbibliothek Prof. Dr. Axel Beer
50007207	30076861		NULL	Cäcilienverein Thun
50007208	30076862		NULL	Orchesterverein Thun
50007488	30076959		NULL	Chanson valaisanne
50007426	30077033		NULL	Bernische Musikgesellschaft
50007538	30077106		NULL	Berwald-Stiftung
50007275	30077156		NULL	Stadtsängerverein Frohsinn St. Gallen
50007341	30077158		NULL	Harmonie St. Gallen
50007346	30077159		NULL	Mädchen-Realschule St. Gallen
50007467	30077160		NULL	Kantonsschülerchor S Gallen
50007458	30077161		NULL	Männerchor Sankt Gallen
50007355	30077162		NULL	Männerchor St. Fiden - St. Gallen
50007531	30077163		NULL	Studiencommission für die höheren Lehranstalten Sankt Gallen
50005553	30077184		CZ-Kb	Zàmeckà knihovna
50007611	40005932		NULL	Bureau d'Arts et d'Industrie
50007517	30077400		NULL	Bezirks-Cäcilien-Verein Rorschach
50007548	30077401		NULL	Caecilien-Verein Bern
50007694	30077401		NULL	Cäcilienverein Bern
50007479	30077412		NULL	Schwarz'scher Männergesangverein Magdeburg
50007173	30077421		NULL	Liederkranz Klein-Steinheim
50007356	30077422		NULL	Liederkranz Frohsinn Bern
50007172	30077423		NULL	Liederkranz Karlsruhe
50007237	30077424		NULL	Liederkranz Riedlingen
50007175	30077425		NULL	Liederkranz Siebnen
50007388	30077426		NULL	Männerchor Liederkranz Einsiedeln
50007266	30077427		NULL	Männerchor Liederkranz Reinach
50007221	30077428		NULL	Männergesangverein Straßburg
50007364	30077428		NULL	Männergesangverein Strassbourg
50007219	30077429		NULL	Männerchor Basel
50007419	30077443		NULL	Kammerchor Chur
50007427	30077486		NULL	Kammerensemble des Radios Bern
50007585	30077508		NULL	Salzburger Cäcilien-Verein
50007728	30077524		NULL	Hochschule Luzern, Musikbibliothek
50007459	30077748		NULL	Liedertafel Basel
50007217	30077772		NULL	Cäcilienverein Zug
50007218	30077773		NULL	Männerchor Zug
50007415	30077774		NULL	Cäcilienchor Küssnacht am Rigi
50007425	30077775		NULL	Cäcilienverein Chur
