DO NOT DO THIS IN PRODUCTION Cleanup... done
Please stand while loading the db... done
40003858	Antonio Gardano	Gardano, Antonio
40009963	Girolamo Scotto	Scotto, Gerolamo
40003845	Angelo Gardano	Gardano, Angelo
40009964	Erede di Girolamo Scotto	Scotto, Girolamo - eredi
40009849	Valentin Schönigk	Schönig, Valentin
51003544	Wilhelm Eder	Eder, Wilhelm
40003311	Jakob Enderlin	Enderlin, Jakob
40005815	Jacob Koppmayer	Koppmayer, Jakob 
40005862	Kress, Johann Albrecht	Kreß, Johann Albrecht
40010826	Paul Trew	Trew, Paul
40011140	Johann Christoph Wagner	Wagner, Johann Christoph 
40009154	Estienne Roger	Roger, Estienne
40009165	Jeanne Roger	Roger, Jeanne
40006186	Michel-Charles Le Cène	Le Cène, Michel-Charles
40009154	Estienne Roger	Roger, Estienne
40009165	Jeanne Roger	Roger, Jeanne
40009154	Estienne Roger	Roger, Estienne
40009162	Estienne Roger & Michel-Charles Le Cène	Le Cène, Michel-Charles
40007626	Giacomo Monti	Monti, Giacomo
40007478	Johann Christoph Mieth	Mieth, Johann Christoph
40000948	Christian II. Bergen	Bergen, Christian
40010488	Johann Heinrich Stremel	Stremel, Johann Heinrich
40012225	Melchior Bergens Witwe und Erben	Bergen, Melchior - Witwe und Erben
40007056	Francesco Magni	Magni
40009604	Giuseppe Sala	Sala, Giuseppe
40009154	Estienne Roger	Roger, Estienne
40003627	Henri Foucault	Foucault, Henry
51005462	Christoph Heinrich Lau	Lau, Christoph Heinrich
40004609	Johann Ulrich Haffner	Haffner, Johann Ulrich
40005292	Johann Julius Hummel	Hummel, Johann Julius
51003460	Ensemble TromboNova	Götze, Thomas Matthias
40005226	Johann Hüter	Hüter, Johann
40007745	Henning Müller	Müller, Henning
40007745	Henning Müller	Müller, Henning
40008954	Salomon Reyher	Reyher, Salomon
40009696	Johann Michael Schall	Schall, Johann Michael 
40003410	Albert Otto Faber	Faber, Albert Otto
40011590	Balthasar Christoph Wust der Ältere	Wust, Balthasar Christoph – the elder
40010826	Paul Trew	Trew, Paul
51002845	Matthäus Wagner	Wagner, Matthäus
40001723	Johann Heinrich Bürckli	Bürkli, Johann Heinrich
40001723	Johann Heinrich Bürckli	Bürkli, Johann Heinrich
40004828	Heidegger & Rahn	Heidegger und Rahn
40007189	Klosterdruckerei Wettingen	Klosterdruckerei - Wettingen
40003410	Albert Otto Faber	Faber, Albert Otto
40007745	Henning Müller	Müller, Henning
40007745	Henning Müller	Müller, Henning
40003410	Albert Otto Faber	Faber, Albert Otto
40007745	Henning Müller	Müller, Henning
40005878	Lorenz Kroninger & Gottlieb Göbels Erben	Kroninger, Lorenz
